samples - プロット0	value - プロット0	
1145	0.355527	
1146	0.083914	
1147	0.812169	
1148	0.540293	
1149	0.268286	
1150	0.996149	
1151	0.723881	
1152	0.451484	
1153	0.178957	
1154	0.9063	
1155	0.633515	
1156	0.360602	
1157	0.0875595	
1158	0.81439	
1159	0.541092	
1160	0.267667	
1161	0.994115	
1162	0.720437	
1163	0.446632	
1164	0.172701	
1165	0.898645	
1166	0.624463	
1167	0.350156	
1168	0.0757243	
1169	0.801168	
1170	0.526488	
1171	0.251684	
1172	0.976756	
1173	0.701706	
1174	0.426532	
1175	0.151236	
1176	0.875818	
1177	0.600278	
1178	0.324616	
1179	0.048833	
1180	0.772929	
1181	0.496904	
1182	0.220759	
1183	0.944494	
1184	0.66811	
1185	0.391606	
1186	0.114982	
1187	0.83824	
1188	0.56138	
1189	0.284401	
1190	0.0073049	
1191	0.730091	
1192	0.45276	
1193	0.175312	
1194	0.897747	
1195	0.620066	
1196	0.342268	
1197	0.0643558	
1198	0.786328	
1199	0.508184	
1200	0.229926	
1201	0.951554	
1202	0.673067	
1203	0.394467	
1204	0.115753	
1205	0.836925	
1206	0.557985	
1207	0.278932	
1208	0.999767	
1209	0.72049	
1210	0.441101	
1211	0.1616	
1212	0.881989	
1213	0.602266	
1214	0.322434	
1215	0.0424904	
1216	0.762437	
1217	0.482275	
1218	0.202003	
1219	0.921622	
1220	0.641132	
1221	0.360534	
1222	0.079828	
1223	0.799014	
1224	0.518093	
1225	0.237064	
1226	0.955928	
1227	0.674686	
1228	0.393337	
1229	0.111883	
1230	0.830322	
1231	0.548657	
1232	0.266886	
1233	0.98501	
1234	0.70303	
1235	0.420945	
1236	0.138757	
1237	0.856465	
1238	0.574069	
1239	0.291571	
1240	0.00896938	
1241	0.726266	
1242	0.44346	
1243	0.160552	
1244	0.877543	
1245	0.594432	
1246	0.31122	
1247	0.027908	
1248	0.744495	
1249	0.460982	
1250	0.17737	
1251	0.893657	
1252	0.609846	
1253	0.325936	
1254	0.0419265	
1255	0.757819	
1256	0.473614	
1257	0.18931	
1258	0.90491	
1259	0.620412	
1260	0.335817	
1261	0.0511254	
1262	0.766338	
1263	0.481454	
1264	0.196474	
1265	0.911399	
1266	0.626229	
1267	0.340964	
1268	0.0556046	
1269	0.770151	
1270	0.484603	
1271	0.198961	
1272	0.913226	
1273	0.627398	
1274	0.341477	
1275	0.0554634	
1276	0.769358	
1277	0.48316	
1278	0.19687	
1279	0.910489	
1280	0.624017	
1281	0.337454	
1282	0.0508009	
1283	0.764057	
1284	0.477224	
1285	0.1903	
1286	0.903287	
1287	0.616186	
1288	0.328995	
1289	0.0417159	
1290	0.754348	
1291	0.466893	
1292	0.17935	
1293	0.89172	
1294	0.604002	
1295	0.316198	
1296	0.0283066	
1297	0.740329	
1298	0.452266	
1299	0.164117	
1300	0.875883	
1301	0.587564	
1302	0.29916	
1303	0.0106711	
1304	0.722098	
1305	0.433441	
1306	0.144701	
1307	0.855877	
1308	0.56697	
1309	0.27798	
1310	0.988907	
1311	0.699752	
1312	0.410516	
1313	0.121197	
1314	0.831797	
1315	0.542316	
1316	0.252755	
1317	0.963112	
1318	0.67339	
1319	0.383587	
1320	0.0937048	
1321	0.803743	
1322	0.513702	
1323	0.223583	
1324	0.933384	
1325	0.643108	
1326	0.352753	
1327	0.0623207	
1328	0.771811	
1329	0.481224	
1330	0.19056	
1331	0.89982	
1332	0.609003	
1333	0.31811	
1334	0.0271419	
1335	0.736098	
1336	0.444979	
1337	0.153785	
1338	0.862516	
1339	0.571173	
1340	0.279756	
1341	0.988266	
1342	0.696702	
1343	0.405064	
1344	0.113354	
1345	0.821571	
1346	0.529715	
1347	0.237788	
1348	0.945789	
1349	0.653718	
1350	0.361576	
1351	0.0693637	
1352	0.77708	
1353	0.484726	
1354	0.192302	
1355	0.899809	
1356	0.607246	
1357	0.314613	
1358	0.0219118	
1359	0.729142	
1360	0.436303	
1361	0.143397	
1362	0.850422	
1363	0.55738	
1364	0.264271	
1365	0.971095	
1366	0.677852	
1367	0.384543	
1368	0.0911675	
1369	0.797726	
1370	0.504219	
1371	0.210647	
1372	0.91701	
1373	0.623309	
1374	0.329543	
1375	0.0357123	
1376	0.741818	
1377	0.44786	
1378	0.153839	
1379	0.859755	
1380	0.565609	
1381	0.271399	
1382	0.977128	
1383	0.682795	
1384	0.3884	
1385	0.0939442	
1386	0.799427	
1387	0.504849	
1388	0.210211	
1389	0.915513	
1390	0.620754	
1391	0.325936	
1392	0.0310593	
1393	0.736123	
1394	0.441128	
1395	0.146075	
1396	0.850963	
1397	0.555794	
1398	0.260567	
1399	0.965282	
1400	0.669941	
1401	0.374543	
1402	0.0790884	
1403	0.783578	
1404	0.488011	
1405	0.192389	
1406	0.896712	
1407	0.600979	
1408	0.305192	
1409	0.00935011	
1410	0.713454	
1411	0.417505	
1412	0.121501	
1413	0.825445	
1414	0.529335	
1415	0.233173	
1416	0.936958	
1417	0.640691	
1418	0.344373	
1419	0.0480022	
1420	0.751581	
1421	0.455108	
1422	0.158585	
1423	0.862011	
1424	0.565387	
1425	0.268714	
1426	0.971991	
1427	0.675218	
1428	0.378397	
1429	0.0815267	
1430	0.784608	
1431	0.487642	
1432	0.190627	
1433	0.893565	
1434	0.596456	
1435	0.2993	
1436	0.00209772	
1437	0.704849	
1438	0.407554	
